,Product list,prices,Review,Discreption
0,Lenovo IdeaTab,$69.99,7 reviews,"7"" screen, Android"
1,IdeaTab A3500L,$88.99,7 reviews,"Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2"
2,Acer Iconia,$96.99,7 reviews,"7"" screen, Android, 16GB"
3,Galaxy Tab 3,$97.99,2 reviews,"7"", 8GB, Wi-Fi, Android 4.2, White"
4,Iconia B1-730HD,$99.99,1 reviews,"Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4"
5,Memo Pad HD 7,$101.99,10 reviews,"IPS, Dual-Core 1.2GHz, 8GB, Android 4.3"
6,Asus MeMO Pad,$102.99,14 reviews,"7"" screen, Android, 8GB"
7,Amazon Kindle,$103.99,3 reviews,"6"" screen, wifi"
8,Galaxy Tab 3,$107.99,14 reviews,"7"", 8GB, Wi-Fi, Android 4.2, Yellow"
9,IdeaTab A8-50,$121.99,13 reviews,"Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2"
10,MeMO Pad 7,$130.99,11 reviews,"White, 7"", Atom 1.2GHz, 8GB, Android 4.4"
11,IdeaTab A3500-H,$148.99,9 reviews,"Blue, 7"" IPS, Quad-Core 1.3GHz, 8GB, 3G, Android 4.2"
12,IdeaTab S5000,$172.99,8 reviews,"Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2"
13,Galaxy Tab 4,$233.99,1 reviews,"LTE (SM-T235), Quad-Core 1.2GHz, 8GB, Black"
14,Galaxy Tab,$251.99,14 reviews,"16GB, White"
15,MeMo PAD FHD 10,$320.99,7 reviews,"White, 10.1"" IPS, 1.6GHz, 2GB, 16GB, Android 4.2"
16,Galaxy Note,$399.99,12 reviews,"10.1"", 3G, Android 4.0, Garnet Red"
17,Galaxy Note,$489.99,9 reviews,"12.2"", 32GB, WiFi, Android 4.4, White"
18,iPad Mini Retina,$537.99,8 reviews,"Wi-Fi + Cellular, 32GB, Silver"
19,Galaxy Note 10.1,$587.99,6 reviews,"10.1"", 32GB, Black"
20,Apple iPad Air,$603.99,7 reviews,"Wi-Fi, 64GB, Silver"
